Module,Median,Average
kyber_keypair_derand,746582,747047
State Permute calls,,27
NTT calls,,4
INVNTT calls,,0
State Permute Cycles,,16715
NTT Cycles,,26812
INVNTT Cycles,,0
kyber_keypair,746827,747011
State Permute calls,,27
NTT calls,,4
INVNTT calls,,0
State Permute Cycles,,16715
NTT Cycles,,26811
INVNTT Cycles,,0
kyber_encaps_derand,862038,862162
State Permute calls,,26
NTT calls,,2
INVNTT calls,,3
State Permute Cycles,,16803
NTT Cycles,,26895
INVNTT Cycles,,47490
kyber_encaps,862242,862470
State Permute calls,,26
NTT calls,,2
INVNTT calls,,3
State Permute Cycles,,16803
NTT Cycles,,26895
INVNTT Cycles,,47490
kyber_decaps,1049978,1050187
State Permute calls,,26
NTT calls,,4
INVNTT calls,,4
State Permute Cycles,,16716
NTT Cycles,,26877
INVNTT Cycles,,47488
