Module,Median,Average
kyber_keypair_derand,745458,745953
State Permute calls,,27
NTT calls,,4
INVNTT calls,,0
kyber_keypair,745488,745688
State Permute calls,,54
NTT calls,,8
INVNTT calls,,0
kyber_encaps_derand,862401,862556
State Permute calls,,80
NTT calls,,10
INVNTT calls,,3
kyber_encaps,862493,862756
State Permute calls,,106
NTT calls,,12
INVNTT calls,,3
kyber_decaps,1050126,1050365
State Permute calls,,132
NTT calls,,16
INVNTT calls,,4
